Date,Count of id w/IWP,Count of id w/o IWP,NORS
1/1/17,425,425,116.031746
1/8/17,323,323,290.3449065
1/15/17,339,339,198.0878401
1/22/17,310,310,164.733618
1/29/17,323,323,380.4664501
2/5/17,273,273,256.813929
2/12/17,258,258,234.1092461
2/19/17,276,276,176.3841915
2/26/17,265,265,200.2112258
3/5/17,288,288,239.3893388
3/12/17,278,278,209.2542492
3/19/17,279,279,195.3223386
3/26/17,284,284,187.9851743
4/2/17,251,251,397.8543622
4/9/17,233,233,409.8674376
4/16/17,276,276,209.8710418
4/23/17,314,314,354.1217649
4/30/17,297,297,200.9627014
5/7/17,248,248,223.9149578
5/14/17,238,238,273.1917266
5/21/17,209,209,318.3947547
5/28/17,240,240,297.0156466
6/4/17,229,229,405.1935915
6/11/17,263,263,370.6625473
6/18/17,245,245,264.8660676
6/25/17,257,257,213.1889536
7/2/17,241,241,180.3340685
7/9/17,289,289,300.8052921
7/16/17,293,293,280.5579045
7/23/17,274,274,232.3319944
7/30/17,265,265,163.1926419
8/6/17,244,244,456.0539696
8/13/17,238,238,362.3826573
8/20/17,239,239,166.488461
8/27/17,234,234,203.5671016
9/3/17,262,262,148.3112605
9/10/17,236,236,207.4111346
9/17/17,222,222,96.3917126
9/24/17,183,183,127.7037731
10/1/17,269,269,237.8075823
10/8/17,236,236,182.603028
10/15/17,264,264,455.4680067
10/22/17,275,275,242.9744071
10/29/17,286,286,580.288311
11/5/17,260,260,166.3959738
11/12/17,288,288,560.1967372
11/19/17,301,301,397.7098763
11/26/17,288,288,261.5469816
12/3/17,261,261,289.6344848
12/10/17,270,270,379.6600049
12/17/17,327,327,247.0876766
12/24/17,36,36,275.3001004
12/31/17,335,335,421.0623434
1/7/18,334,334,329.2480822
1/14/18,290,290,345.5678064
1/21/18,324,324,220.0878359
1/28/18,264,264,349.5227423
2/4/18,256,256,314.7262709
2/11/18,273,273,137.8050489
2/18/18,250,250,188.5907038
2/25/18,272,272,229.5639065
3/4/18,255,255,302.7113541
3/11/18,283,283,537.1504942
3/18/18,284,284,462.6210867
3/25/18,302,302,207.2945136
4/1/18,308,308,473.5212434
4/8/18,272,272,368.8749157
4/15/18,291,291,396.4594703
4/22/18,299,299,421.3051037
4/29/18,272,272,604.4995063
5/6/18,274,274,396.5962629
5/13/18,236,236,353.9957167
5/20/18,263,263,340.7670092
5/27/18,270,270,427.8956293
6/3/18,283,283,364.3127773
6/10/18,300,300,394.6526205
6/17/18,288,288,533.2397266
6/24/18,266,266,484.4811842
7/1/18,285,285,527.581415
7/8/18,242,242,538.7093236
7/15/18,278,278,368.7484157
7/22/18,248,248,557.363062
7/29/18,294,295,694.7663258
8/5/18,274,274,501.3667826
8/12/18,253,253,431.6822961
8/19/18,270,270,319.6024484
8/26/18,255,255,459.1847969
9/2/18,257,257,450.308364
9/9/18,248,248,354.4536973
9/16/18,270,270,283.7229354
9/23/18,277,277,285.1197231
9/30/18,282,282,300.1311068
10/7/18,249,249,288.1099881
10/14/18,243,243,240.4467053
10/21/18,252,252,203.6790508
10/28/18,238,238,245.0151395
11/4/18,240,240,314.203249
11/11/18,253,253,197.3820726
11/18/18,310,310,237.0035765
11/25/18,291,291,662.3697515
12/2/18,249,249,986.0923005
12/9/18,262,262,487.6465976
12/16/18,313,313,449.7646933
12/23/18,321,321,209.8270533
12/30/18,328,328,172.2357276
