cdcid,DateFirstIll,EstimatedPrimary,DeathsInfo,HospitalInfo,CAFC_1,States,Ingredients,FoodNames,IFSACLevel,TaxonomyConfirmation
266903,2016-01-02,7,7.0,7.0,,['ohio'],[],[],[],confirmed
266907,2016-01-04,5,5.0,5.0,,"['new', 'york']",[],[],[],
266911,2016-01-03,6,6.0,6.0,,['minnesota'],[],[],[],confirmed
266980,2016-01-03,9,9.0,9.0,,['ohio'],[],[],[],suspected
266981,2016-01-10,3,3.0,3.0,,"['new', 'york']",[],[],[],
266992,2016-01-05,3,3.0,3.0,,['ohio'],[],[],[],suspected
267017,2016-01-09,30,30.0,13.0,Multiple,"['new', 'york']",[],"['mixed', 'green', 'salad', 'tiramisu']",['multiple'],confirmed
267028,2016-01-08,13,13.0,13.0,Multiple,['oregon'],[],"['mushroom', 'risotto', 'fritters']",['multiple'],confirmed
267075,2016-01-12,2,2.0,2.0,,['maryland'],[],[],[],
267077,2016-01-10,56,56.0,56.0,,['ohio'],[],[],[],confirmed
267092,2016-01-12,3,3.0,3.0,,['ohio'],[],[],[],suspected
267107,2016-01-14,9,9.0,9.0,,['louisiana'],[],[],[],confirmed
267109,2016-01-15,2,2.0,2.0,,['ohio'],[],[],[],suspected
267111,2016-01-04,5,0.0,1.0,,['kansas'],[],[],[],
267129,2016-01-20,2,2.0,2.0,,['minnesota'],[],[],[],confirmed
267137,2016-01-17,11,11.0,11.0,Multiple,"['oregon', 'washington']",[],"['snack', 'mix', 'sparkling', 'water']",['multiple'],confirmed
267142,2016-01-15,3,0.0,0.0,,['ohio'],[],[],[],confirmed
267183,2016-01-18,92,,,,['tennessee'],[],[],[],confirmed
267199,2016-01-17,10,10.0,10.0,,['connecticut'],[],[],[],confirmed
267221,2016-01-10,2,2.0,2.0,,['ohio'],[],[],[],confirmed
267222,2016-01-28,6,6.0,6.0,,"['virginia', 'west', 'virginia']",[],[],[],suspected
267227,2016-01-27,5,0.0,0.0,,['ohio'],[],[],[],suspected
